Date,Close,Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
16-05-2018,8368.830078,6760220160,707.0499878,2476130048,0.999949992,3238190080,12.26049995,35233200
17-05-2018,8094.319824,5862530048,672.6569824,2350619904,1.00019002,3026749952,12.46500015,54251500
18-05-2018,8250.969727,5764190208,694.3670044,2305740032,1.001109958,3051709952,15.13539982,243260992
19-05-2018,8247.179688,4712399872,696.5300293,2021549952,1.000360012,2569299968,14.24569988,138320992
20-05-2018,8513.25,5191059968,715.3690186,2156910080,0.999117017,2610939904,14.11779976,95390200
21-05-2018,8418.990234,5154990080,699.2219849,2005170048,1.00296998,2406449920,14.72229958,97367296
22-05-2018,8041.779785,5137010176,647.7410278,2230469888,1.00296998,2417590016,13.92549992,86545104
23-05-2018,7557.819824,6491120128,583.585022,2995429888,1.004019976,3360600064,12.62619972,68215200
24-05-2018,7587.339844,6049220096,601.7550049,2791099904,0.99881798,3122710016,13.00030041,54410900
25-05-2018,7480.140137,4867829760,586.7340088,2110919936,1.000440001,2375610112,13.00800037,49173800
26-05-2018,7355.879883,4051539968,587.2800293,1694300032,0.999890029,1872140032,12.75909996,43258400
27-05-2018,7368.220215,4056519936,572.6680298,1788790016,0.999181986,1885900032,12.60579967,36691600
28-05-2018,7135.990234,5040600064,516.0360107,2356900096,1.002490044,2582710016,11.89430046,33398400
29-05-2018,7472.589844,5662660096,565.3880005,2330820096,1.00067997,3003919872,12.5717001,48807700
30-05-2018,7406.52002,4922540032,559.5900269,2053970048,0.999727011,2429060096,12.57089996,43146300
31-05-2018,7494.169922,5127130112,577.6450195,1985040000,0.998003006,2613339904,14.19019985,93931696
01-06-2018,7541.450195,4921460224,580.0430298,1945890048,1.000990033,2486080000,14.2407999,80342200
02-06-2018,7643.450195,4939299840,591.8079834,1880390016,0.993529975,3187569920,14.6796999,87983000
03-06-2018,7720.25,4851760128,618.3289795,1832550016,1.000100017,2796300032,14.56599998,82182304
04-06-2018,7514.470215,4993169920,592.9849854,1903430016,1.000519991,2798279936,14.26109982,58219100
05-06-2018,7633.759766,4961739776,609.3029785,1844269952,1.001019955,2796069888,15.59930038,101474000
06-06-2018,7653.97998,4692259840,607.1240234,1756530048,1.000689983,2508359936,17.24749947,157806000
07-06-2018,7678.240234,4485799936,605.1870117,1880140032,0.998749971,2554540032,16.26309967,131031000
08-06-2018,7624.919922,4227579904,601.0770264,1637779968,1.001790047,2219579904,16.2737999,94394600
09-06-2018,7531.97998,3845220096,597.5620117,1519309952,1.006080031,2006880000,15.96319962,85299904
10-06-2018,6786.02002,5804839936,526.4790039,2234880000,0.99821502,3845029888,14.18420029,79288200
11-06-2018,6906.919922,4745269760,533.2839966,1982119936,1.001929998,2913220096,15.3835001,83039696
12-06-2018,6582.359863,4654380032,496.8429871,1932760064,1.000769973,2702340096,15.2262001,116016000
13-06-2018,6349.899902,5052349952,477.493988,2080130048,1.003530025,3056750080,14.58909988,97415904
14-06-2018,6675.350098,5138710016,519.7420044,2458650112,1.00395,3104209920,14.89529991,80329504
15-06-2018,6456.580078,3955389952,491.0039978,1808269952,1.006950021,2376110080,15.04810047,79159296
16-06-2018,6550.160156,3194170112,499.6419983,1314109952,1.004240036,1797939968,15.80920029,81354704
17-06-2018,6499.27002,3104019968,500.447998,1264870016,1.005480051,1548390016,16.5788002,107346000
18-06-2018,6734.819824,4039200000,518.8909912,1513869952,1.002830029,2073910016,16.87969971,106776000
19-06-2018,6769.939941,4057029888,537.9569702,1726569984,1.000219941,2253370112,16.69960022,80738096
20-06-2018,6776.549805,3888640000,536.2680054,1596290048,0.998829007,2215259904,16.06189919,65190300
21-06-2018,6729.740234,3529129984,527.3670044,1462070016,1.000530005,2017639936,17.05330086,122980000
22-06-2018,6083.689941,5079810048,465.8169861,2226030080,1.003000021,3747810048,15.59389973,113751000
23-06-2018,6162.47998,3431360000,474.519989,1651379968,1.001979947,2500859904,15.55119991,70431104
24-06-2018,6173.22998,4566909952,457.6719971,2490579968,1.005100012,3952620032,14.44760036,96256304
25-06-2018,6249.180176,5500810240,460.3099976,4007950080,1.000620008,3956019968,14.92090034,60358000
26-06-2018,6093.669922,3279759872,432.7720032,1356560000,1.000560045,2025110016,14.11999989,37503400
27-06-2018,6157.129883,3296219904,442.3649902,1368940032,0.997934997,2055360000,14.05010033,44136600
28-06-2018,5903.439941,3467800064,422.3649902,1360790016,0.997192979,2331049984,14.12460041,67290496
29-06-2018,6218.299805,3966230016,436.0090027,1564499968,1.003329992,2482319872,14.50860023,52784600
30-06-2018,6404,4543860224,455.1799927,1475939968,0.999191999,2540620032,14.6573,59676900
01-07-2018,6385.819824,4788259840,453.9179993,1511730048,0.99882102,3653040128,14.40410042,38434400
02-07-2018,6614.180176,4396930048,475.3469849,1625789952,0.998858988,2787729920,14.57059956,55614000
03-07-2018,6529.589844,4672309760,464.1950073,1683939968,1.000319958,2786769920,14.17150021,60657300
04-07-2018,6597.549805,4176689920,467.3179932,1549769984,0.99919498,2638139904,14.00549984,37043700
05-07-2018,6639.140137,4999240192,474.4119873,1828610048,1.006139994,3606159872,13.85050011,41185300
06-07-2018,6673.5,4313959936,474.0119934,1627609984,1.00316,2460250112,13.52960014,33466000
07-07-2018,6856.930176,3961080064,491.6600037,1358360064,1.00620997,2134790016,14.40480042,79974896
08-07-2018,6773.879883,3386210048,489.118988,1344560000,1.00425005,2142080000,13.99190044,60275400
09-07-2018,6741.75,3718129920,476.6820068,1533799936,1.007500052,2358560000,13.66450024,36874000
10-07-2018,6329.950195,4052430080,434.4240112,1789069952,1.001199961,2974149888,12.76130009,36507100
11-07-2018,6394.709961,3644859904,446.5180054,1422470016,1.001160026,2524790016,12.70489979,38867700
12-07-2018,6228.810059,3770170112,430.0740051,1495440000,0.999069989,2404160000,12.07059956,26008100
13-07-2018,6238.049805,3805400064,434.0270081,1489670016,1.001420021,2279970048,12.18010044,29709900
14-07-2018,6276.120117,2923670016,436.0859985,1235820032,1.002650023,1620770048,12.0965004,21534200
15-07-2018,6359.640137,3285459968,449.8500061,1350160000,0.998351991,1919559936,12.28909969,26346900
16-07-2018,6741.75,4725799936,480.6579895,1858680064,0.999139011,2864659968,13.23729992,47198600
17-07-2018,7321.040039,5961950208,501.0020142,2288100096,1.000130057,3620499968,13.71280003,74443200
18-07-2018,7370.779785,6103410176,480.5130005,2371559936,1.002210021,4082030080,12.86480045,75446304
19-07-2018,7466.859863,5111629824,469.618988,2068739968,0.998088002,3188349952,12.91800022,49364800
20-07-2018,7354.129883,4936869888,450.697998,1821350016,1.001029968,3072349952,12.07089996,40466000
21-07-2018,7419.290039,3726609920,462.4360046,1504310016,1.000040054,2164900096,12.18529987,28726700
22-07-2018,7418.490234,3695460096,459.6570129,1338589952,0.999843001,2209939968,12.11989975,20692400
23-07-2018,7711.109863,5132480000,450.8529968,1596999936,0.997496009,2808819968,12.01990032,28137700
24-07-2018,8424.269531,7277689856,479.3729858,2287520000,0.996505022,4417310208,12.14509964,46762700
25-07-2018,8181.390137,5845400064,472.4930115,1930780032,0.998790979,3514560000,12.93939972,72083200
26-07-2018,7951.580078,4899089920,464.0369873,1621560064,0.997950971,2894500096,13.39729977,61881400
27-07-2018,8165.009766,5195879936,469.6659851,1734259968,0.997117996,3092310016,13.92269993,66040700
28-07-2018,8192.150391,3988750080,466.8980103,1531890048,0.997887015,2298899968,14.60169983,75159904
29-07-2018,8218.459961,4107190016,466.6650085,1631910016,0.99891901,2404489984,14.02120018,56547100
30-07-2018,8180.47998,5551400000,457.0809937,2141590000,0.99891001,4311410000,13.21689987,35991600
31-07-2018,7780.439941,5287530000,433.8670044,1820680000,0.99950701,3253100000,13.77540016,66537000
01-08-2018,7624.910156,4797620000,420.7470093,1888060000,0.99940902,3059190000,13.57390022,53833700
02-08-2018,7567.149902,4214110000,412.6210022,1569300000,1.000659943,2539460000,14.17689991,50481200
03-08-2018,7434.390137,4627150000,418.2619934,1722340000,0.999095023,2843800000,14.13459969,70449300
04-08-2018,7032.850098,4268390000,407.2520142,1466540000,0.998504996,2526060000,13.8423996,60865200
05-08-2018,7068.47998,3679110000,410.5159912,1396820000,0.999346972,2204100000,13.62320042,43000300
06-08-2018,6951.799805,3925900000,406.6579895,1384880000,1.000949979,2336390000,13.69909954,46799600
07-08-2018,6753.120117,4682800000,380.2149963,1828350000,1.001539946,2942000000,13.14610004,45119500
08-08-2018,6305.799805,5064430000,356.6130066,2016080000,1.00169003,3421800000,12.14369965,44898500
09-08-2018,6568.22998,4267040000,365.5880127,1616610000,1.004240036,2626630000,12.8579998,41389000
10-08-2018,6184.709961,4528680000,334.1759949,1699400000,1.00158,2887490000,12.13080025,37026400
11-08-2018,6295.72998,4047850000,322.1119995,1790370000,1.009850025,2630390000,11.73659992,29253100
12-08-2018,6322.689941,5665250000,319.5700073,1625420000,1.00048995,4066320000,11.74180031,23290300
13-08-2018,6297.569824,4083980000,286.4949951,1751190000,1.003929973,2596380000,10.22819996,34827100
14-08-2018,6199.709961,5301700000,278.9320068,2137850000,0.997542977,3917750000,9.420109749,39515200
15-08-2018,6308.52002,4895450000,282.3640137,1878150000,1.001250029,3277720000,9.463009834,42994900
