Date,Open,High,Low,Close
01-Aug-06,3015.05,3030.9,2991.5,3022.4
02-Aug-06,3016,3061.7,3016,3056.8
03-Aug-06,3069.65,3107.1,3050.5,3063.7
04-Aug-06,3068.35,3095.95,3035.9,3049.5
07-Aug-06,3033.1,3050.4,3020.35,3030
08-Aug-06,3042.15,3089.75,3042.15,3086.7
09-Aug-06,3072.35,3139.65,3072,3128.7
10-Aug-06,3126.9,3151.05,3109.7,3139.3
11-Aug-06,3154.75,3167.6,3118.95,3154.1
14-Aug-06,3174.45,3196.3,3167.8,3192.3
16-Aug-06,3230.7,3254.6,3229.1,3235.5
17-Aug-06,3262.05,3262.05,3207.75,3231.8
18-Aug-06,3237.5,3244.25,3218.5,3234.5
21-Aug-06,3233.8,3255.4,3215.55,3249.6
22-Aug-06,3249.4,3282.05,3239,3249.3
23-Aug-06,3246.7,3250.65,3207.15,3216.8
24-Aug-06,3192,3256.3,3186.2,3248.7
25-Aug-06,3271.85,3282.2,3257.6,3267.6
28-Aug-06,3268.7,3286.75,3261.95,3283.3
29-Aug-06,3306.5,3314.65,3298.8,3305.9
30-Aug-06,3318.6,3319.2,3288.6,3309.8
31-Aug-06,3326.8,3328.25,3284.55,3291.7
01-Sep-06,3294.7,3317.65,3283.25,3314.9
04-Sep-06,3337.65,3361.6,3337.65,3356.4
05-Sep-06,3363.95,3367.15,3343.2,3358.6
06-Sep-06,3362.1,3376.9,3353.7,3365.2
07-Sep-06,3344.75,3360.65,3330,3344.8
08-Sep-06,3353.8,3367.4,3335.95,3361.2
11-Sep-06,3371.85,3371.85,3243.2,3255.4
12-Sep-06,3262.35,3285.15,3219.75,3281.7
13-Sep-06,3322.1,3359.6,3316.95,3346.1
14-Sep-06,3371.35,3375.75,3348.5,3364.3
15-Sep-06,3364.65,3378.65,3329.35,3370.4
18-Sep-06,3384.95,3396.8,3378.05,3383.8
19-Sep-06,3394.8,3403.9,3331.3,3348.3
20-Sep-06,3318.75,3394.35,3314.1,3388.8
21-Sep-06,3413.55,3439.8,3413.5,3436.3
22-Sep-06,3414.65,3445.55,3410.75,3427.9
25-Sep-06,3435.25,3435.65,3400.05,3407.3
26-Sep-06,3425.5,3454.55,3402.85,3450.7
27-Sep-06,3473.6,3480.75,3453.25,3463.6
28-Sep-06,3470.1,3477.9,3453.15,3465
29-Sep-06,3476.9,3491,3468.35,3479.7
03-Oct-06,3483.8,3495.25,3457.1,3463.8
04-Oct-06,3472.05,3472.05,3409.6,3415.7
05-Oct-06,3418.65,3472.9,3418.65,3465.3
06-Oct-06,3480.2,3482.45,3461.9,3470.9
09-Oct-06,3451.3,3487.55,3443.4,3470.8
10-Oct-06,3490.5,3500.25,3465.7,3473.6
11-Oct-06,3499.9,3509.9,3443.45,3456.3
12-Oct-06,3467.2,3520.7,3448.85,3515.4
13-Oct-06,3553.25,3569.35,3544.55,3563.7
16-Oct-06,3580,3609.8,3580,3605.1
17-Oct-06,3619.65,3619.65,3577.75,3596.1
18-Oct-06,3594.8,3606.6,3586.5,3592.8
19-Oct-06,3606.1,3606.1,3537.3,3558.1
20-Oct-06,3574.3,3593.1,3549.25,3558.5
21-Oct-06,3584.55,3586.15,3561.8,3567.2
23-Oct-06,3574.35,3574.35,3537.4,3540.6
26-Oct-06,3546.85,3570.85,3540.75,3563.5
27-Oct-06,3587.5,3626.55,3585.15,3622.1
30-Oct-06,3618.7,3656.05,3608.05,3651.8
31-Oct-06,3665.6,3666.05,3615.4,3633.1
01-Nov-06,3652.5,3657.35,3626.9,3651.9
02-Nov-06,3652.9,3686.3,3647.7,3675.1
03-Nov-06,3683.4,3691.25,3657.55,3688.5
06-Nov-06,3691.35,3705.25,3682.35,3694.9
07-Nov-06,3723,3723,3679.95,3686.2
08-Nov-06,3689.5,3697.8,3626.7,3665
09-Nov-06,3683.8,3694.15,3659.75,3681.3
10-Nov-06,3691.45,3724.25,3674.2,3718.2
13-Nov-06,3724.65,3744.4,3718.7,3741.7
14-Nov-06,3761.7,3762.85,3732,3747.4
15-Nov-06,3767.5,3770.05,3734,3761.3
16-Nov-06,3765.5,3787.55,3751.9,3764.4
17-Nov-06,3775.5,3775.85,3715,3732.4
20-Nov-06,3699.9,3736.65,3667.85,3728.7
21-Nov-06,3744.65,3792.2,3743.4,3790.1
22-Nov-06,3806.9,3829,3801.3,3823.7
23-Nov-06,3831.4,3841.7,3805.95,3816.7
24-Nov-06,3822.75,3838.2,3809.85,3823.6
27-Nov-06,3826.9,3846.65,3826.9,3841
28-Nov-06,3801.35,3821.35,3789.15,3795.4
29-Nov-06,3818.85,3823.6,3794.6,3800.7
30-Nov-06,3825.85,3826.3,3800.85,3818.5
01-Dec-06,3836.15,3867.95,3824.6,3866.5
04-Dec-06,3883.7,3885.3,3863.35,3874.3
05-Dec-06,3901,3901,3874.3,3885.7
06-Dec-06,3890.5,3902.35,3850.8,3881.8
07-Dec-06,3888.5,3889.85,3869.7,3882.2
08-Dec-06,3889.4,3891.8,3826.3,3837.3
11-Dec-06,3834.3,3834.3,3684,3723.3
12-Dec-06,3705.85,3733.2,3536.65,3587.6
13-Dec-06,3602.5,3651.05,3536.75,3641.2
14-Dec-06,3656.8,3728.55,3656.8,3719
15-Dec-06,3757.45,3781.1,3748.95,3765.3
18-Dec-06,3789.8,3799.55,3702.6,3796.3
19-Dec-06,3777.35,3789.7,3663.4,3707.1
20-Dec-06,3737.8,3754.85,3666.15,3690.1
21-Dec-06,3673.8,3719.4,3647.45,3704.8
22-Dec-06,3709.5,3743.8,3699.25,3739.3
26-Dec-06,3746.55,3811.75,3744.2,3808.2
27-Dec-06,3826.4,3851.7,3826.4,3840.6
28-Dec-06,3862.3,3862.3,3831.65,3838.5
29-Dec-06,3846,3859.7,3835.05,3839.3
02-Jan-07,3853.25,3884.85,3840.45,3878.1
03-Jan-07,3892.05,3899.7,3857.9,3895.1
04-Jan-07,3907.3,3907.3,3856.25,3864.1
05-Jan-07,3864.8,3885.85,3844.7,3857.5
08-Jan-07,3839.5,3839.5,3793.95,3808.8
